,lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID
658,659,barrebi01,,,,,,,,,,,,,,,Bill,Barrett,,William,,181.885744235,,,,7/8/1871,10/18/1873,,barrebi01,barrebi01,barrb102,barrebi01,barrebi01
659,660,barrebi02,,,1900.0,5.0,28.0,USA,MA,Cambridge,1951.0,1.0,26.0,USA,MA,Cambridge,Bill,Barrett,,William Joseph,Whispering Bill,175.0,72.0,R,R,5/13/1921,5/31/1930,,barrebi02,barrebi02,barrb105,barrebi02,barrebi02
660,661,barrebo01,,,1899.0,1.0,27.0,USA,GA,Atlanta,1982.0,1.0,18.0,USA,GA,Atlanta,Bob,Barrett,,Robert Schley,Jumbo,175.0,71.0,R,R,4/30/1923,8/1/1929,,barrebo01,barrebo01,barrb104,barrebo01,barrebo01
661,662,barredi01,,,1906.0,9.0,28.0,USA,PA,Montoursville,1966.0,10.0,30.0,USA,WA,Seattle,Dick,Barrett,,Tracy Souter,Kewpie Dick,175.0,69.0,R,R,6/27/1933,9/30/1945,,barredi01,barredi01,barrd101,barredi01,barredi01
662,663,barrefr01,,,1913.0,7.0,1.0,USA,FL,Fort Lauderdale,1998.0,3.0,6.0,USA,FL,Leesburg,Frank,Barrett,,Francis Joseph,Red,173.0,74.0,R,R,10/1/1939,9/15/1950,,barrefr01,barrefr01,barrf104,barrefr01,barrefr01
663,664,barreji01,,,1875.0,3.0,28.0,USA,MA,Athol,1921.0,10.0,24.0,USA,MI,Detroit,Jimmy,Barrett,,James Erigena,,170.0,67.0,L,R,9/13/1899,5/13/1908,,barreji01,barreji01,barrj103,barreji01,barreji01
664,665,barrejo01,,,1915.0,12.0,18.0,USA,MA,Lowell,1974.0,8.0,17.0,USA,NH,Seabrook Beach,Johnny,Barrett,,John Joseph,Jack,170.0,70.0,L,L,4/14/1942,9/26/1946,,barrejo01,barrejo01,barrj106,barrejo01,barrejo01
665,666,barrema01,,,1860.0,11.0,,USA,NY,Port Henry,1910.0,1.0,29.0,USA,MA,Holyoke,Marty,Barrett,,Martin F.,,170.0,69.0,R,R,6/24/1884,10/15/1884,,barrema01,barrema01,barrm101,barrema01,barrema01
666,667,barrema02,,,1958.0,6.0,23.0,USA,CA,Arcadia,,,,,,,Marty,Barrett,,Martin Glenn,,175.0,70.0,R,R,9/6/1982,5/7/1991,Arizona State,barrema02,barrema02,barrm001,barrema02,barrema02
667,668,barremi01,,,1976.0,10.0,22.0,USA,GA,Atlanta,,,,,,,Michael,Barrett,,,,225.0,72.0,R,R,9/19/1998,,,barremi01,barremi01,barrm003,barremi01,barremi01
668,669,barrere01,,,1915.0,2.0,14.0,USA,CA,Santa Barbara,1990.0,7.0,28.0,USA,NC,Wilson,Red,Barrett,,Charles Henry,,183.0,71.0,R,R,9/15/1937,9/29/1949,,barrere01,barrere01,barrr101,barrere01,barrere01
669,670,barreti01,,,1961.0,1.0,24.0,USA,IN,Huntingburg,,,,,,,Tim,Barrett,,Timothy Wayne,,185.0,73.0,L,R,7/18/1988,8/9/1988,Indiana State,barreti01,barreti01,barrt001,barreti01,barreti01
670,671,barreto01,,,1960.0,4.0,2.0,USA,CA,San Fernando,,,,,,,Tom,Barrett,,Thomas Loren,,157.0,69.0,B,R,7/2/1988,8/16/1992,Arizona,barreto01,barreto01,barrt002,barreto01,barreto01
671,672,barrifr01,,,1953.0,6.0,10.0,Mexico,26,Hermosillo,1982.0,4.0,9.0,Mexico,26,Hermosillo,Francisco,Barrios,,Francisco Javier (Jimenez),,155.0,71.0,R,R,8/18/1974,6/3/1981,,barrifr01,barrifr01,barrf101,barrifr01,barrifr01
672,673,barrijo01,,,1957.0,6.0,26.0,USA,NY,New York,,,,,,,Jose,Barrios,,Jose Manuel,,195.0,76.0,R,R,4/23/1982,5/7/1982,Miami-Dade CC,barrijo01,barrijo01,barrj102,barrijo01,barrijo01
673,674,barrima01,,,1974.0,9.0,21.0,Panama,,Cabecera,,,,,,,Manuel,Barrios,,Manuel Antonio,,170.0,72.0,R,R,9/16/1997,7/3/1998,,barrima01,barrima01,barrm002,barrima01,barrima01
674,675,barrofr02,,,1890.0,8.0,6.0,USA,WV,St. Marys,1964.0,9.0,18.0,USA,WV,St.Marys,Frank,Barron,,Frank John,,175.0,73.0,L,L,8/19/1914,8/19/1914,,barrofr02,barrofr02,barrf103,barrofr02,barrofr02
675,676,barrore01,,,1900.0,6.0,21.0,USA,GA,Clarksville,1982.0,10.0,4.0,USA,GA,Atlanta,Red,Barron,,David Irenus,,185.0,71.0,R,R,6/10/1929,7/7/1929,,barrore01,barrore01,barrr103,barrore01,barrore01
